,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia
0,2015-01-02,1515.0,1515.199951171875,1490.5,1495.800048828125,965.2319946289062,283046,0
1,2015-01-05,1495.800048828125,1499.0,1426.0999755859375,1442.5999755859375,930.9022216796876,1218810,-1
2,2015-01-06,1442.5999755859375,1450.0999755859375,1431.0,1441.5999755859375,930.2567749023438,1217208,0
3,2015-01-07,1441.5999755859375,1460.0,1422.4000244140625,1426.9000244140625,920.7713012695312,1251314,-1
4,2015-01-08,1427.199951171875,1449.0,1400.0,1409.699951171875,909.6720581054688,20118939,-1
5,2015-01-09,1409.699951171875,1424.0,1406.0,1409.300048828125,909.4139404296876,1873238,0
6,2015-01-12,1409.300048828125,1420.0,1390.0,1391.800048828125,898.1212158203125,2398068,-1
7,2015-01-13,1391.800048828125,1410.0999755859375,1379.4000244140625,1385.300048828125,893.9268798828125,2516821,0
8,2015-01-14,1400.0,1400.0,1355.199951171875,1368.5,883.0858764648438,4616213,-1
9,2015-01-15,1368.5,1400.0,1348.0,1355.699951171875,874.8260498046875,1148553,-1
10,2015-01-16,1355.699951171875,1365.0,1336.0999755859375,1339.800048828125,864.5660400390625,325876,-1
11,2015-01-19,1339.800048828125,1353.0,1335.9000244140625,1341.0,865.34033203125,404594,0
12,2015-01-20,1341.0,1369.699951171875,1340.0999755859375,1350.300048828125,871.341552734375,1744134,1
13,2015-01-21,1350.300048828125,1360.0,1340.699951171875,1349.5,870.8253784179688,3055779,0
14,2015-01-22,1349.5,1360.0,1335.0999755859375,1347.4000244140625,869.4702758789062,1795518,0
15,2015-01-23,1347.4000244140625,1359.800048828125,1315.0999755859375,1338.9000244140625,863.9849853515625,873438,-1
16,2015-01-26,1338.9000244140625,1340.0,1279.300048828125,1305.9000244140625,842.6903076171875,1904166,-1
17,2015-01-27,1305.9000244140625,1336.0,1284.9000244140625,1333.199951171875,860.3070678710938,1359196,1
18,2015-01-28,1333.199951171875,1365.199951171875,1315.0999755859375,1348.0999755859375,869.921875,1079183,1
19,2015-01-29,1348.0999755859375,1420.5999755859375,1340.5,1401.199951171875,904.18701171875,1914749,1
20,2015-01-30,1401.199951171875,1560.0,1395.0,1551.0999755859375,1000.9165649414062,1580425,1
21,2015-02-02,1551.0999755859375,1625.0,1529.9000244140625,1589.0,1025.37353515625,3735151,1
22,2015-02-03,1589.0,1635.199951171875,1560.0,1623.4000244140625,1047.5716552734375,2800310,1
23,2015-02-04,1623.4000244140625,1640.0999755859375,1625.199951171875,1628.5999755859375,1050.927001953125,1625098,0
24,2015-02-05,1628.5999755859375,1635.0,1570.0,1590.0999755859375,1026.083251953125,1465270,-1
25,2015-02-06,1590.0999755859375,1597.300048828125,1580.0,1584.5,1022.4696655273438,2970521,0
26,2015-02-09,1584.5,1584.0,1540.0999755859375,1554.4000244140625,1003.0462646484376,831239,-1
27,2015-02-10,1554.4000244140625,1544.9000244140625,1511.0,1518.699951171875,980.0093383789062,1901215,-1
28,2015-02-11,1518.699951171875,1638.0999755859375,1501.0999755859375,1553.9000244140625,1002.7236328125,758072,1
29,2015-02-12,1553.9000244140625,1590.0999755859375,1550.0,1583.5,1021.8242797851562,929615,1
30,2015-02-13,1583.5,1593.0,1547.0,1564.300048828125,1009.4346313476562,644455,-1
31,2015-02-16,1564.300048828125,1600.0,1565.0,1586.800048828125,1023.9537353515624,185457,1
32,2015-02-17,1586.800048828125,1590.0,1565.0,1587.4000244140625,1024.3409423828125,326403,0
33,2015-02-18,1587.4000244140625,1600.0,1550.199951171875,1594.9000244140625,1029.1806640625,1459868,0
34,2015-02-19,1594.9000244140625,1595.0,1575.0,1577.800048828125,1018.1461181640624,377725,-1
35,2015-02-20,1577.800048828125,1590.0,1530.0,1536.5,991.4955444335938,3284242,-1
36,2015-02-23,1536.5,1580.0,1536.5,1556.5999755859375,1004.4656982421876,2820476,1
37,2015-02-24,1556.5999755859375,1570.0,1535.0,1539.800048828125,993.6251831054688,810661,-1
38,2015-02-25,1539.800048828125,1570.0,1500.0,1515.5999755859375,978.0087280273438,27080078,-1
39,2015-02-26,1515.5999755859375,1530.0,1501.699951171875,1511.300048828125,975.2341918945312,2815110,0
40,2015-02-27,1511.300048828125,1540.0,1511.0,1527.800048828125,985.8814086914062,1284313,1
41,2015-03-02,1527.800048828125,1530.0,1490.0,1497.4000244140625,966.2643432617188,418914,-1
42,2015-03-03,1497.4000244140625,1510.0,1480.0,1489.699951171875,961.2954711914062,1438784,-1
43,2015-03-04,1489.699951171875,1491.0,1461.0,1480.199951171875,955.165283203125,715529,-1
44,2015-03-05,1480.199951171875,1490.0,1450.0,1459.9000244140625,942.0659790039062,5501363,-1
45,2015-03-06,1459.9000244140625,1482.300048828125,1380.0,1466.0,946.0022583007812,2149538,0
46,2015-03-09,1466.0,1464.9000244140625,1429.0,1434.199951171875,925.4817504882812,1008831,-1
47,2015-03-10,1444.800048828125,1444.800048828125,1410.0,1415.5999755859375,913.4793090820312,1189169,-1
48,2015-03-11,1423.0,1439.9000244140625,1358.0,1371.800048828125,885.21533203125,1839101,-1
49,2015-03-12,1380.0,1419.9000244140625,1331.0,1353.0999755859375,873.1483154296875,710724,-1
50,2015-03-13,1353.0999755859375,1354.0,1330.0,1331.5,859.2100219726562,528246,-1
