,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,Signal,Histogram,ADX_14,ATR_14,CCI_14,OBV,WILLR_14,ROC_10,MFI_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,TSI_13_25_13,TSIs_13_25_13,UO,KAMA,TRIX_30_9,TRIXs_30_9,DPO,CMO,COPP,KST_10_15_20_30_10_10_10_15,KSTs_9,STC_10_12_26_0.5,STCmacd_10_12_26_0.5,STCstoch_10_12_26_0.5,PVI,NVI,ZLEMA,DEMA,TEMA,WMA,HMA,VWMA
0,2015-01-02,1717.0,1722.0,1717.0,1721.9000244140625,1004.134765625,100952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-01-05,1721.9000244140625,1709.0,1680.0,1699.0,990.78076171875,311938,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.6700723567354,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-01-06,1699.0,1700.0,1682.0,1685.5,982.9080200195312,206195,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.6700723567354,999.2054149499705,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-01-07,1685.5,1699.4000244140625,1680.0,1683.300048828125,981.62548828125,186904,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-604085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.6700723567354,999.0748927801767,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-01-08,1683.300048828125,1675.0,1650.0,1657.4000244140625,966.5213623046876,306502,-1,0.0,0.0,0.0,0.0,0.0,1731.608429549229,1689.42001953125,1647.2316095132712,0.0,0.0,0.0,0.0,0.0,0.0,-910587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.1314266214077,999.0748927801767,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-01-09,1657.4000244140625,1672.5,1651.0,1665.0,970.9534912109376,97136,0,0.0,0.0,0.0,0.0,0.0,1707.9557831441496,1678.0400146484376,1648.1242461527256,0.0,0.0,0.0,0.0,0.0,0.0,-813451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.1314266214077,999.5334408358052,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-01-12,1665.0,1681.4000244140625,1663.9000244140625,1675.699951171875,977.1930541992188,298799,1,0.0,0.0,0.0,0.0,0.0,1694.8512500617828,1673.3800048828125,1651.9087597038422,0.0,0.0,0.0,0.0,0.0,0.0,-514652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.7740663314303,999.5334408358052,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-01-13,1675.699951171875,1710.0,1689.800048828125,1700.800048828125,991.8301391601562,438136,1,0.0,0.0,0.0,0.0,0.0,1706.565275695113,1676.4400146484375,1646.3147536017618,0.0,0.0,0.0,0.0,0.0,0.0,-76516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.2719536852311,999.5334408358052,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-01-14,1700.800048828125,1725.4000244140625,1700.0,1723.4000244140625,1005.0096435546876,175463,1,0.0,0.0,0.0,0.0,0.0,1733.2124048350408,1684.460009765625,1635.7076146962092,0.0,0.0,0.0,0.0,0.0,0.0,98947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.830023193359466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.2719536852311,1000.862225815645,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-01-15,1723.4000244140625,1736.9000244140625,1702.0,1710.300048828125,997.3700561523438,191631,-1,1692.2300170898438,0.0,1692.2300170898438,0.0,0.0,1738.3692410544427,1695.0400146484376,1651.7107882424325,0.0,0.0,0.0,0.0,0.0,0.0,-92684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.394952392578034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.5118297789783,1000.862225815645,1692.183349609375,1692.2300170898438,1692.2300170898438,1693.390929066051,0.0,1690.7075241168482
