,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,Signal,Histogram,ADX_14,ATR_14,CCI_14,OBV,WILLR_14,ROC_10,MFI_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,TSI_13_25_13,TSIs_13_25_13,UO,KAMA,TRIX_30_9,TRIXs_30_9,DPO,CMO,COPP,KST_10_15_20_30_10_10_10_15,KSTs_9,STC_10_12_26_0.5,STCmacd_10_12_26_0.5,STCstoch_10_12_26_0.5,PVI,NVI,ZLEMA,DEMA,TEMA,WMA,HMA,VWMA
0,2015-01-02,5740.7001953125,5775.0,5700.0,5768.60009765625,3994.892578125,40075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-01-05,5768.60009765625,5740.0,5479.39990234375,5505.60009765625,3854.857421875,73204,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.4408349417937,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-01-06,5505.60009765625,5695.0,5520.0,5574.7998046875,3903.310302734375,133744,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.6977316615665,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-01-07,5574.7998046875,5696.0,5500.0,5554.7001953125,3889.237548828125,63787,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.6977316615665,999.6394559431874,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-01-08,5554.7001953125,5654.0,5580.10009765625,5637.0,3946.8603515625,74762,1,0.0,0.0,0.0,0.0,0.0,5789.384968284866,5608.1400390625,5426.895109840135,0.0,0.0,0.0,0.0,0.0,0.0,111590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.179356264042,999.6394559431874,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-01-09,5637.0,5700.7001953125,5562.7998046875,5569.89990234375,3899.8798828125,103148,-1,0.0,0.0,0.0,0.0,0.0,5652.688455152241,5568.4,5484.1115448477585,0.0,0.0,0.0,0.0,0.0,0.0,8442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.9890050549548,999.6394559431874,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-01-12,5569.89990234375,5617.0,5571.0,5617.0,3932.857421875,41648,1,0.0,0.0,0.0,0.0,0.0,5652.7562188026905,5590.67998046875,5528.603742134809,0.0,0.0,0.0,0.0,0.0,0.0,50090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.9890050549548,1000.4850743291917,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-01-13,5617.0,5772.7001953125,5617.0,5659.2998046875,3962.474853515625,94814,1,0.0,0.0,0.0,0.0,0.0,5686.80257573088,5607.57998046875,5528.357385206621,0.0,0.0,0.0,0.0,0.0,0.0,144904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.7420726121472,1000.4850743291917,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-01-14,5659.2998046875,5754.0,5620.0,5632.5,3943.71044921875,185789,0,0.0,0.0,0.0,0.0,0.0,5682.868984750125,5623.13994140625,5563.410898062375,0.0,0.0,0.0,0.0,0.0,0.0,-40885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.7550048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.2685192466707,1000.4850743291917,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-01-15,5632.5,5679.7998046875,5628.89990234375,5660.5,3963.31494140625,373375,0,5617.989990234375,0.0,5617.989990234375,0.0,0.0,5694.489298656709,5627.83994140625,5561.19058415579,0.0,0.0,0.0,0.0,0.0,0.0,332490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.23500976562536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.7656342045047,1000.4850743291917,5656.966552734375,5617.989990234375,5617.989990234375,5622.15087890625,0.0,5623.815263198017
