,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,CCI_14,WILLR_14,TSI_13_25_13,CMO,COPP,ATR_14,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
0,2015-01-02,17402.19921875,17608.509765625,17260.974609375,17395.224609375,12412.0185546875,8743,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333086193374851,0.0907020196318626,-0.8540768725797534
1,2015-01-05,17395.224609375,17696.265625,16917.509765625,16965.74609375,12105.5732421875,50765,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1979802823247941,0.4589172787964344,-0.9069290151819588
2,2015-01-06,16965.74609375,17027.3515625,16273.005859375,16556.033203125,11813.232421875,63567,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2584405313432216,0.1825432851910591,-0.8326564515009522
3,2015-01-07,16556.033203125,16737.93359375,16281.142578125,16377.619140625,11685.92578125,346620,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3331942647207705,0.2391559556126594,-0.8626151597127318
4,2015-01-08,16377.619140625,16562.421875,16081.2275390625,16154.4501953125,11526.6904296875,89004,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442417794122145,0.2473258897662162,-0.3230099119246006
5,2015-01-09,16154.4501953125,16272.427734375,15981.8486328125,16185.833984375,11549.083984375,45400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2264920926120664,0.3177797347307205,-0.7952041672542691
6,2015-01-12,16185.833984375,16208.4970703125,16106.2158203125,16120.1640625,11502.224609375,53717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3323111753253376,0.2430503293871879,-0.7735911384224892
7,2015-01-13,16130.041015625,16342.1630859375,16130.041015625,16235.810546875,11584.7431640625,57984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1114232010828952,0.651096798479557,-0.7964870845898986
8,2015-01-14,16235.810546875,16273.005859375,15851.0849609375,16142.2490234375,11517.9853515625,86488,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2776864224456642,0.2860363274812698,-0.9015197264961898
9,2015-01-15,16142.2490234375,16182.92578125,15952.205078125,15954.5361328125,11384.0458984375,64828,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1973111155726339,0.304103072732687,-0.8624410200864077
10,2015-01-16,15954.5361328125,16156.197265625,15808.662109375,15849.3447265625,11308.9873046875,32761,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2328940284496639,0.1758583411574363,-0.8814477422274649
11,2015-01-19,15849.3447265625,16039.9609375,15849.3447265625,16031.830078125,11439.197265625,7050707,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.158123420121578,0.4157061949372291,-0.6152036096900702
12,2015-01-20,16031.830078125,16135.8525390625,15759.8427734375,15998.69921875,11415.5556640625,34008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3395340703427791,0.2375694587826728,-0.8371405014768243
13,2015-01-21,15998.69921875,16141.6640625,15691.26953125,15774.953125,11255.90625,82625,-1,-84.03743112408837,-95.8262465442771,0.0,0.0,0.0,0.0,0.0,-0.0618294452388699,0.7287472542375326,-0.7834384683519602
14,2015-01-22,15774.953125,16105.630859375,15774.953125,15964.9912109375,11391.50390625,141039,1,-68.68676021388528,-86.34801930334184,0.0,-43.0597344365719,0.0,364.00414944250815,28.47013278171405,-0.1235513438542301,0.5831749923527241,-0.8099315883591771
15,2015-01-23,15964.9912109375,16137.0146484375,15769.7255859375,15819.701171875,11287.8359375,83400,-1,-80.41534786862067,-90.38744346371884,0.0,-48.507007603967935,0.0,364.3538448448534,25.74649619801604,-0.2476105256202189,0.2494212090969085,-0.7846500054001808
16,2015-01-26,15819.701171875,15923.15234375,15699.9833984375,15908.041015625,11350.869140625,52918,1,-100.97628962156264,-79.28929709717629,0.0,-39.75263283879606,0.0,349.83263321006643,30.12368358060197,-0.2571392083274467,0.1774239838123321,-0.8037086445838213
17,2015-01-27,15908.041015625,15917.33984375,15720.328125,15810.40234375,11281.201171875,75817,-1,-109.52828028750916,-86.32468668026814,0.0,-43.70279513919002,0.0,334.5935015250856,28.148602430404985,-0.1604444564975522,0.2819506004452705,-0.7552006272599101
18,2015-01-28,15810.40234375,15978.939453125,15401.8525390625,15548.8818359375,11094.59765625,89738,-1,-186.7143799596608,-84.3637511709687,0.0,-52.65655243786001,0.0,358.109402726862,23.671723781069996,-0.3175651669088337,0.070633016526699,-0.8526800498366356
19,2015-01-29,15548.8818359375,15551.20703125,15168.228515625,15292.01171875,10911.3125,118378,-1,-256.39417070289954,-89.45569827694494,0.0,-59.474308198787845,0.0,360.461019071103,20.262845900606084,-0.27244178194087,0.2147879526019096,-0.9242369290441276
20,2015-01-30,15292.01171875,15516.919921875,15226.3408203125,15418.703125,11001.7119140625,59313,1,-174.58550922484298,-78.66366527494594,0.0,-48.142978228414286,0.0,354.0023998204235,25.928510885792857,-0.1676338016986847,0.3372390754520893,-0.8710213396698236
21,2015-02-02,15418.703125,15544.8173828125,15237.38671875,15500.6474609375,11060.181640625,35981,1,-123.74656032593757,-69.91077458339669,0.0,-41.15666557808965,0.0,349.786654253977,29.421667210955174,-0.3578003008539478,0.0413495078682899,-0.8496994795277715
22,2015-02-03,15575.0380859375,16156.775390625,15575.0380859375,15976.6142578125,11399.798828125,111991,1,40.85253168861369,-20.33232279486069,0.0,-9.0020105051807,0.0,376.9976024421304,45.49899474740965,-0.2592278154566884,0.3228999078273773,-0.6959863156080246
23,2015-02-04,16039.9609375,16504.888671875,16039.9609375,16450.841796875,11738.173828125,72264,1,171.26198207443147,-4.043426801291695,0.0,12.40739876130918,-4.222199043630189,390.2050853108432,56.20369938065459,-0.2753705017268658,0.4727851673960686,-0.9210211783647536
24,2015-02-05,16450.841796875,16615.306640625,16155.61328125,16421.205078125,11717.0263671875,78562,0,164.1741745193527,-13.41334369904873,-21.60902287567114,10.940872699122496,-1.7445177421948146,396.1770550414296,55.47043634956125,-0.1915764014490626,0.015204794704914,-0.6180590186268091
25,2015-02-06,16421.205078125,16788.494140625,16185.25,16628.09375,11864.6484375,70338,1,166.72495371109568,-9.899635476436153,-20.138555767716223,18.8956881330094,0.4283100296561047,413.71825469385846,59.4478440665047,-0.3318588994443416,-0.0562173053622245,-0.6596226058900356
26,2015-02-09,16632.7421875,16769.896484375,16632.7421875,16769.318359375,11965.4169921875,23044,1,162.66453312288905,-1.1834961474295302,-17.98078779898283,23.89298030849929,2.833281087774354,390.9855556325763,61.946490154249645,-0.2909071275240017,0.1737270653247833,-0.8554051211103797
27,2015-02-10,16769.318359375,16775.12890625,16272.427734375,16289.86328125,11623.310546875,74585,-1,85.89272937213583,-30.774636681871225,-18.5638850052441,1.1144266078019536,4.001852150595621,400.2128830536611,50.55721330390097,-0.2140920244157314,0.0268311724066734,-0.8350177556276321
28,2015-02-11,16504.888671875,16521.740234375,16287.5380859375,16389.8203125,11694.6328125,34436,1,65.66520793209425,-24.605461103021295,-18.336448076352436,5.034510541171985,5.089802759332782,386.6524081943117,52.517255270585984,-0.1646543627915283,0.3077328130602836,-0.6600758377462626
29,2015-02-12,16389.8203125,16678.65234375,16330.5400390625,16579.857421875,11830.23046875,45699,1,74.33621090236493,-12.876698458007462,-16.877930677739613,12.163791964765972,6.846724127419696,383.5362444487,56.08189598238299,-0.3149562740529125,0.3600782565772533,-0.8706616777926683
