Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,17402.19921875,17608.509765625,17260.974609375,17395.224609375,12412.0185546875,8743
2015-01-05,17395.224609375,17696.265625,16917.509765625,16965.74609375,12105.5732421875,50765
2015-01-06,16965.74609375,17027.3515625,16273.005859375,16556.033203125,11813.232421875,63567
2015-01-07,16556.033203125,16737.93359375,16281.142578125,16377.619140625,11685.92578125,346620
2015-01-08,16377.619140625,16562.421875,16081.2275390625,16154.4501953125,11526.6904296875,89004
2015-01-09,16154.4501953125,16272.427734375,15981.8486328125,16185.833984375,11549.083984375,45400
2015-01-12,16185.833984375,16208.4970703125,16106.2158203125,16120.1640625,11502.224609375,53717
2015-01-13,16130.041015625,16342.1630859375,16130.041015625,16235.810546875,11584.7431640625,57984
2015-01-14,16235.810546875,16273.005859375,15851.0849609375,16142.2490234375,11517.9853515625,86488
2015-01-15,16142.2490234375,16182.92578125,15952.205078125,15954.5361328125,11384.0458984375,64828
2015-01-16,15954.5361328125,16156.197265625,15808.662109375,15849.3447265625,11308.9873046875,32761
2015-01-19,15849.3447265625,16039.9609375,15849.3447265625,16031.830078125,11439.197265625,7050707
2015-01-20,16031.830078125,16135.8525390625,15759.8427734375,15998.69921875,11415.5556640625,34008
2015-01-21,15998.69921875,16141.6640625,15691.26953125,15774.953125,11255.90625,82625
2015-01-22,15774.953125,16105.630859375,15774.953125,15964.9912109375,11391.50390625,141039
2015-01-23,15964.9912109375,16137.0146484375,15769.7255859375,15819.701171875,11287.8359375,83400
2015-01-26,15819.701171875,15923.15234375,15699.9833984375,15908.041015625,11350.869140625,52918
2015-01-27,15908.041015625,15917.33984375,15720.328125,15810.40234375,11281.201171875,75817
2015-01-28,15810.40234375,15978.939453125,15401.8525390625,15548.8818359375,11094.59765625,89738
2015-01-29,15548.8818359375,15551.20703125,15168.228515625,15292.01171875,10911.3125,118378
2015-01-30,15292.01171875,15516.919921875,15226.3408203125,15418.703125,11001.7119140625,59313
2015-02-02,15418.703125,15544.8173828125,15237.38671875,15500.6474609375,11060.181640625,35981
2015-02-03,15575.0380859375,16156.775390625,15575.0380859375,15976.6142578125,11399.798828125,111991
2015-02-04,16039.9609375,16504.888671875,16039.9609375,16450.841796875,11738.173828125,72264
2015-02-05,16450.841796875,16615.306640625,16155.61328125,16421.205078125,11717.0263671875,78562
2015-02-06,16421.205078125,16788.494140625,16185.25,16628.09375,11864.6484375,70338
2015-02-09,16632.7421875,16769.896484375,16632.7421875,16769.318359375,11965.4169921875,23044
2015-02-10,16769.318359375,16775.12890625,16272.427734375,16289.86328125,11623.310546875,74585
2015-02-11,16504.888671875,16521.740234375,16287.5380859375,16389.8203125,11694.6328125,34436
2015-02-12,16389.8203125,16678.65234375,16330.5400390625,16579.857421875,11830.23046875,45699
2015-02-13,16579.857421875,17289.455078125,16432.828125,16743.162109375,11946.7548828125,32040
2015-02-16,16853.5859375,17248.771484375,16853.5859375,17018.63671875,12143.3134765625,27700
2015-02-17,16679.81640625,16857.07421875,16679.81640625,16743.74609375,11947.1689453125,31816
2015-02-18,16766.408203125,16853.5859375,16766.408203125,16796.052734375,11984.4921875,81643
2015-02-19,16796.052734375,16969.232421875,16794.890625,16941.919921875,12088.572265625,26289
2015-02-20,16941.919921875,17022.1171875,16882.638671875,16983.181640625,12118.0146484375,23818
2015-02-23,17022.1171875,17376.626953125,17022.1171875,17202.27734375,12274.345703125,58363
2015-02-24,17202.27734375,17274.921875,16277.6552734375,16527.55078125,11792.9091796875,81974
2015-02-25,16527.55078125,16998.875,16527.55078125,16698.998046875,11915.2412109375,93798
2015-02-26,16698.998046875,16911.69921875,16563.0078125,16682.724609375,11903.630859375,69489
2015-02-27,16682.724609375,16728.634765625,16563.0078125,16585.091796875,11833.9658203125,80729
2015-03-02,16585.091796875,16679.23828125,16504.888671875,16606.0078125,11848.8896484375,31237
2015-03-03,16606.0078125,16765.830078125,16568.234375,16572.306640625,11824.8427734375,29183
2015-03-04,16679.23828125,16765.830078125,16679.23828125,16761.181640625,11959.6103515625,40419
2015-03-05,16761.181640625,16940.7578125,16562.421875,16596.130859375,11841.84375,47379
2015-03-06,16596.130859375,16847.7734375,16504.888671875,16683.302734375,11904.04296875,29786
2015-03-09,16683.302734375,16708.296875,16273.005859375,16310.779296875,11638.2353515625,19489
2015-03-10,16310.779296875,16331.1240234375,16132.365234375,16142.8271484375,11518.396484375,57757
2015-03-11,16142.8271484375,16272.427734375,15800.525390625,15915.015625,11355.845703125,49010
2015-03-12,16388.658203125,16388.658203125,15954.5361328125,16198.6201171875,11558.205078125,41807
2015-03-13,16198.6201171875,16223.6083984375,16141.6640625,16181.7626953125,11546.177734375,54687
2015-03-16,16181.7626953125,16336.935546875,15981.8486328125,16252.6669921875,11596.771484375,25297
2015-03-17,16252.6669921875,16533.369140625,16252.6669921875,16347.3974609375,11664.3623046875,16873
2015-03-18,16347.3974609375,16551.3828125,16272.427734375,16351.462890625,11667.2646484375,29634
2015-03-19,15772.62890625,16345.3857421875,15400.689453125,15405.3388671875,11412.525390625,74618
2015-03-20,15964.755859375,16441.14453125,15691.26953125,15837.13671875,11732.4072265625,129138
2015-03-23,15837.13671875,16156.197265625,15837.13671875,16137.0146484375,11954.5625,38880
2015-03-24,16137.0146484375,16614.14453125,15836.55859375,16463.04296875,12196.0908203125,15659
2015-03-25,16463.04296875,16499.076171875,16039.9609375,16275.330078125,12057.029296875,95255
2015-03-26,16272.427734375,16863.330078125,15907.45703125,16058.55859375,11896.443359375,17983
2015-03-27,16058.55859375,16157.353515625,15691.26953125,15855.734375,11746.1865234375,32314
2015-03-30,15855.734375,16272.427734375,15853.994140625,16060.3046875,11897.7353515625,53407
2015-03-31,16060.3046875,16272.427734375,15980.685546875,16223.0302734375,12018.28515625,71832
2015-04-01,16223.0302734375,16737.349609375,16221.283203125,16660.0546875,12342.0380859375,38149
2015-04-02,16660.0546875,16853.001953125,16563.0078125,16746.0703125,12405.7607421875,10483
2015-04-06,16679.23828125,17284.9140625,16561.84375,16594.390625,12293.39453125,6532
